gp_id,user_id,faculty_id,student_count
114,121,2,263
119,121,2,5
116,121,2,113
115,121,2,88
118,121,2,36
238,121,2,112
229,121,2,91
237,121,2,33
235,121,2,276
231,121,2,168
230,121,2,203
233,121,2,261
236,121,2,143
254,121,2,36
170,121,3,38
169,121,3,23
191,121,3,63
219,121,3,6
45,121,3,18
60,121,3,12
136,121,1,128
135,121,1,150
143,121,1,118
178,121,3,62
152,121,3,18
218,121,3,19
243,121,1,120
138,121,1,379
242,121,1,189
195,121,1,404
117,121,2,157
192,121,1,136
234,121,2,66
114,6,2,263
119,6,2,5
116,6,2,113
115,6,2,88
118,6,2,36
238,6,2,112
229,6,2,91
237,6,2,33
235,6,2,276
231,6,2,168
230,6,2,203
233,6,2,261
236,6,2,143
254,6,2,36
170,6,3,38
169,6,3,23
191,6,3,63
219,6,3,6
45,6,3,18
60,6,3,12
136,6,1,128
135,6,1,150
143,6,1,118
178,6,3,62
152,6,3,18
218,6,3,19
243,6,1,120
138,6,1,379
242,6,1,189
195,6,1,404
117,6,2,157
192,6,1,136
234,6,2,66
114,122,2,263
119,122,2,5
116,122,2,113
117,122,2,157
115,122,2,88
118,122,2,36
238,122,2,112
234,122,2,66
237,122,2,33
235,122,2,276
233,122,2,261
236,122,2,143
136,122,1,128
143,122,1,118
198,122,1,299
178,122,3,62
218,122,3,19
242,122,1,189
243,122,1,120
60,122,3,12
191,122,3,63
193,122,3,22
263,122,1,33
268,122,1,3
267,122,1,4
114,119,2,263
119,119,2,5
115,119,2,88
118,119,2,36
238,119,2,112
237,119,2,33
235,119,2,276
233,119,2,261
236,119,2,143
259,119,2,10
152,119,3,18
178,119,3,62
234,119,2,66
191,119,3,63
193,119,3,22
45,119,3,18
138,119,1,379
146,119,1,83
262,119,1,25
265,119,1,26
261,119,1,23
266,119,1,17
264,119,1,9
142,119,1,22
185,119,1,83
269,119,1,18
270,119,1,5
243,119,1,120
242,119,1,189
192,119,1,136
140,119,1,94
272,119,1,32
178,27,3,62
157,27,3,11
258,21,2,31
257,21,2,204
259,21,2,10
260,21,2,58
256,21,2,62
255,21,2,67
189,21,2,5
278,21,2,175
279,21,2,160
178,21,3,62
152,21,3,18
258,69,2,31
257,69,2,204
259,69,2,10
260,69,2,58
256,69,2,62
255,69,2,67
189,69,2,5
278,69,2,175
279,69,2,160
178,69,3,62
258,88,2,31
257,88,2,204
259,88,2,10
260,88,2,58
256,88,2,62
255,88,2,67
280,88,3,19
158,88,3,18
152,88,3,18
258,127,2,31
257,127,2,204
259,127,2,10
260,127,2,58
256,127,2,62
255,127,2,67
280,127,3,19
158,127,3,18
152,127,3,18
258,109,2,31
257,109,2,204
259,109,2,10
260,109,2,58
256,109,2,62
255,109,2,67
189,109,2,5
278,109,2,175
279,109,2,160
280,109,3,19
218,109,3,19
178,109,3,62
258,63,2,31
257,63,2,204
259,63,2,10
260,63,2,58
256,63,2,62
255,63,2,67
258,83,2,31
257,83,2,204
259,83,2,10
260,83,2,58
256,83,2,62
255,83,2,67
189,83,2,5
278,83,2,175
279,83,2,160
280,83,3,19
218,83,3,19
178,76,3,62
280,76,3,19
218,76,3,19
152,76,3,18
258,85,2,31
257,85,2,204
260,85,2,58
256,85,2,62
255,85,2,67
259,85,2,10
189,85,2,5
278,85,2,175
279,85,2,160
280,85,3,19
152,85,3,18
157,85,3,11
255,41,2,67
258,41,2,31
256,41,2,62
257,41,2,204
259,41,2,10
260,41,2,58
189,41,2,5
278,41,2,175
279,41,2,160
280,41,3,19
152,41,3,18
178,41,3,62
158,41,3,18
159,41,3,6
161,41,3,6
189,56,2,5
278,56,2,175
279,56,2,160
152,125,3,18
160,125,3,6
158,125,3,18
189,40,2,5
278,40,2,175
279,40,2,160
280,40,3,19
189,68,2,5
278,68,2,175
279,68,2,160
280,68,3,19
152,68,3,18
189,111,2,5
278,111,2,175
279,111,2,160
280,111,3,19
152,111,3,18
280,24,3,19
189,31,2,5
278,31,2,175
279,31,2,160
280,31,3,19
161,31,3,6
159,31,3,6
158,31,3,18
280,113,3,19
158,113,3,18
179,113,3,6
162,114,3,12
163,114,3,12
189,57,2,5
278,57,2,175
279,57,2,160
152,57,3,18
280,57,3,19
189,26,2,5
278,26,2,175
279,26,2,160
152,26,3,18
280,26,3,19
189,70,2,5
278,70,2,175
279,70,2,160
280,70,3,19
179,70,3,6
280,7,3,19
158,7,3,18
152,7,3,18
280,74,3,19
158,74,3,18
152,74,3,18
189,117,2,5
278,117,2,175
279,117,2,160
234,117,2,66
280,117,3,19
158,117,3,18
159,117,3,6
161,117,3,6
189,30,2,5
278,30,2,175
279,30,2,160
234,30,2,66
189,116,2,5
278,116,2,175
279,116,2,160
234,116,2,66
189,80,2,5
278,80,2,175
279,80,2,160
234,80,2,66
280,120,3,19
158,120,3,18
189,112,2,5
278,112,2,175
280,112,3,19
152,112,3,18
178,112,3,62
189,101,2,5
278,101,2,175
280,101,3,19
152,101,3,18
233,59,2,261
280,91,3,19
152,91,3,18
291,91,3,43
291,42,3,43
289,42,3,21
293,42,3,40
153,42,3,7
291,13,3,43
289,13,3,21
293,13,3,40
153,13,3,7
291,58,3,43
289,58,3,21
152,58,3,18
280,58,3,19
291,20,3,43
291,102,3,43
291,8,3,43
289,2,3,21
290,2,3,22
152,2,3,18
288,2,3,18
289,9,3,21
290,9,3,22
152,9,3,18
288,9,3,18
289,107,3,21
290,107,3,22
152,107,3,18
288,107,3,18
382,11,2,130
382,100,2,130
382,45,2,130

